order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id,department,product_name
3323006,57546,31,0,17,13.0,3,23,1,19,snacks,energy granola bars
3323006,57546,31,0,17,13.0,107,24,1,19,snacks,chips pretzels
3323006,57546,31,0,17,13.0,3,25,1,19,snacks,energy granola bars
3323006,57546,31,0,17,13.0,31,26,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,21,27,1,16,dairy eggs,packaged cheese
3323006,57546,31,0,17,13.0,31,28,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,31,29,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,31,30,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,31,31,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,23,32,1,19,snacks,popcorn jerky
3323006,57546,31,0,17,13.0,24,33,1,4,produce,fresh fruits
3323006,57546,31,0,17,13.0,23,34,1,19,snacks,popcorn jerky
3323006,57546,31,0,17,13.0,117,35,1,19,snacks,nuts seeds dried fruit
3323006,57546,31,0,17,13.0,31,36,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,3,37,1,19,snacks,energy granola bars
3323006,57546,31,0,17,13.0,94,38,1,7,beverages,tea
3323006,57546,31,0,17,13.0,94,39,1,7,beverages,tea
3323006,57546,31,0,17,13.0,31,40,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,94,41,1,7,beverages,tea
3323006,57546,31,0,17,13.0,94,42,0,7,beverages,tea
3323006,57546,31,0,17,13.0,31,43,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,3,44,1,19,snacks,energy granola bars
3323006,57546,31,0,17,13.0,51,45,1,13,pantry,preserved dips spreads
3323006,57546,31,0,17,13.0,94,46,1,7,beverages,tea
3323006,57546,31,0,17,13.0,31,47,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,78,48,1,19,snacks,crackers
3323006,57546,31,0,17,13.0,107,49,1,19,snacks,chips pretzels
3323006,57546,31,0,17,13.0,31,50,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,84,51,1,16,dairy eggs,milk
3323006,57546,31,0,17,13.0,94,52,0,7,beverages,tea
3323006,57546,31,0,17,13.0,123,53,1,4,produce,packaged vegetables fruits
3323006,57546,31,0,17,13.0,3,54,1,19,snacks,energy granola bars
3323006,57546,31,0,17,13.0,31,55,1,7,beverages,refrigerated
3323006,57546,31,0,17,13.0,67,56,1,20,deli,fresh dips tapenades
3323006,57546,31,0,17,13.0,94,57,1,7,beverages,tea
42603,37609,12,5,22,12.0,107,1,1,19,snacks,chips pretzels
42603,37609,12,5,22,12.0,31,2,1,7,beverages,refrigerated
42603,37609,12,5,22,12.0,3,3,1,19,snacks,energy granola bars
680038,174516,1,3,10,,78,1,0,19,snacks,crackers
680038,174516,1,3,10,,61,2,0,19,snacks,cookies cakes
680038,174516,1,3,10,,17,3,0,13,pantry,baking ingredients
1385365,12134,3,6,17,7.0,84,1,1,16,dairy eggs,milk
1385365,12134,3,6,17,7.0,24,2,0,4,produce,fresh fruits
1385365,12134,3,6,17,7.0,24,3,1,4,produce,fresh fruits
1385365,12134,3,6,17,7.0,26,4,0,7,beverages,coffee
1385365,12134,3,6,17,7.0,21,5,0,16,dairy eggs,packaged cheese
1385365,12134,3,6,17,7.0,81,6,0,15,canned goods,canned jarred vegetables
1385365,12134,3,6,17,7.0,81,7,0,15,canned goods,canned jarred vegetables
1385365,12134,3,6,17,7.0,81,8,0,15,canned goods,canned jarred vegetables
1385365,12134,3,6,17,7.0,121,9,0,14,breakfast,cereal
341877,91828,4,2,22,30.0,56,1,0,18,babies,diapers wipes
2684711,176807,3,1,20,0.0,83,1,0,4,produce,fresh vegetables
2684711,176807,3,1,20,0.0,91,2,0,16,dairy eggs,soy lactosefree
2684711,176807,3,1,20,0.0,115,3,0,7,beverages,water seltzer sparkling water
2684711,176807,3,1,20,0.0,123,4,0,4,produce,packaged vegetables fruits
2684711,176807,3,1,20,0.0,24,5,0,4,produce,fresh fruits
2684711,176807,3,1,20,0.0,24,6,1,4,produce,fresh fruits
2684711,176807,3,1,20,0.0,47,7,0,11,personal care,vitamins supplements
2684711,176807,3,1,20,0.0,115,8,1,7,beverages,water seltzer sparkling water
1599030,149682,14,5,17,28.0,21,1,1,16,dairy eggs,packaged cheese
1599030,149682,14,5,17,28.0,83,2,1,4,produce,fresh vegetables
1599030,149682,14,5,17,28.0,24,3,1,4,produce,fresh fruits
1599030,149682,14,5,17,28.0,77,4,1,7,beverages,soft drinks
1677593,168859,17,5,10,11.0,53,1,1,16,dairy eggs,cream
1677593,168859,17,5,10,11.0,131,2,1,9,dry goods pasta,dry pasta
1677593,168859,17,5,10,11.0,36,3,1,16,dairy eggs,butter
3033740,137213,3,3,11,30.0,53,1,1,16,dairy eggs,cream
3033740,137213,3,3,11,30.0,108,2,1,16,dairy eggs,other creams cheeses
3033740,137213,3,3,11,30.0,115,3,0,7,beverages,water seltzer sparkling water
3033740,137213,3,3,11,30.0,52,4,1,1,frozen,frozen breakfast
3033740,137213,3,3,11,30.0,131,5,0,9,dry goods pasta,dry pasta
3033740,137213,3,3,11,30.0,80,6,0,11,personal care,deodorants
3033740,137213,3,3,11,30.0,45,7,1,19,snacks,candy chocolate
3033740,137213,3,3,11,30.0,83,8,0,4,produce,fresh vegetables
3033740,137213,3,3,11,30.0,120,9,0,16,dairy eggs,yogurt
3033740,137213,3,3,11,30.0,78,10,0,19,snacks,crackers
3033740,137213,3,3,11,30.0,78,11,0,19,snacks,crackers
3033740,137213,3,3,11,30.0,78,12,0,19,snacks,crackers
2531004,130050,22,0,14,7.0,129,1,1,1,frozen,frozen appetizers sides
2531004,130050,22,0,14,7.0,129,2,0,1,frozen,frozen appetizers sides
2531004,130050,22,0,14,7.0,91,3,0,16,dairy eggs,soy lactosefree
2531004,130050,22,0,14,7.0,112,4,1,3,bakery,bread
2054248,93917,27,2,7,5.0,21,1,1,16,dairy eggs,packaged cheese
2054248,93917,27,2,7,5.0,123,2,1,4,produce,packaged vegetables fruits
2054248,93917,27,2,7,5.0,96,3,1,20,deli,lunch meat
2054248,93917,27,2,7,5.0,69,4,1,15,canned goods,soup broth bouillon
2054248,93917,27,2,7,5.0,23,5,1,19,snacks,popcorn jerky
2054248,93917,27,2,7,5.0,83,6,1,4,produce,fresh vegetables
2054248,93917,27,2,7,5.0,49,7,0,12,meat seafood,packaged poultry
2054248,93917,27,2,7,5.0,64,8,1,7,beverages,energy sports drinks
2054248,93917,27,2,7,5.0,64,9,1,7,beverages,energy sports drinks
2054248,93917,27,2,7,5.0,54,10,0,17,household,paper goods
2054248,93917,27,2,7,5.0,121,11,0,14,breakfast,cereal
2054248,93917,27,2,7,5.0,84,12,1,16,dairy eggs,milk
3406246,19413,5,4,8,2.0,24,1,0,4,produce,fresh fruits
3406246,19413,5,4,8,2.0,52,2,0,1,frozen,frozen breakfast
3406246,19413,5,4,8,2.0,45,3,0,19,snacks,candy chocolate
3406246,19413,5,4,8,2.0,91,4,1,16,dairy eggs,soy lactosefree
3406246,19413,5,4,8,2.0,24,5,0,4,produce,fresh fruits
3406246,19413,5,4,8,2.0,69,6,0,15,canned goods,soup broth bouillon
2693841,136145,12,6,15,6.0,91,1,1,16,dairy eggs,soy lactosefree
2693841,136145,12,6,15,6.0,121,2,1,14,breakfast,cereal
2693841,136145,12,6,15,6.0,131,3,0,9,dry goods pasta,dry pasta
2693841,136145,12,6,15,6.0,24,4,1,4,produce,fresh fruits
2693841,136145,12,6,15,6.0,120,5,1,16,dairy eggs,yogurt
2693841,136145,12,6,15,6.0,21,6,1,16,dairy eggs,packaged cheese
2693841,136145,12,6,15,6.0,121,7,1,14,breakfast,cereal
2693841,136145,12,6,15,6.0,4,8,1,9,dry goods pasta,instant foods
2693841,136145,12,6,15,6.0,120,9,1,16,dairy eggs,yogurt
2693841,136145,12,6,15,6.0,131,10,1,9,dry goods pasta,dry pasta
